city,lat,lng,country,iso2,admin,capital,population,population_proper
Almaty,43.256667,76.928611,Kazakhstan,KZ,Almaty,admin,1209000,983512
Shymkent,42.3,69.6,Kazakhstan,KZ,Ongtüstik Qazaqstan,admin,465392,414032
Qaraghandy,49.8,73.1,Kazakhstan,KZ,Qaraghandy,admin,451800,304747
Taraz,42.9,71.366667,Kazakhstan,KZ,Zhambyl,admin,358153,307294
Astana,51.166666,71.45,Kazakhstan,KZ,Astana,primary,345604,325021
Pavlodar,52.283333,76.966666,Kazakhstan,KZ,Pavlodar,admin,329002,303506
Öskemen,49.966666,82.6,Kazakhstan,KZ,Shyghys Qazaqstan,admin,319067,249634
Semey,50.426749,80.266694,Kazakhstan,KZ,Shyghys Qazaqstan,,311353,292780
Qyzylorda,44.85,65.5,Kazakhstan,KZ,Qyzylorda,admin,300000,126519
Aqtöbe,50.3,57.183333,Kazakhstan,KZ,Aqtöbe,admin,262457,258529
Qostanay,53.216666,63.633333,Kazakhstan,KZ,Qostanay,admin,236901,210000
Petropavl,54.866666,69.15,Kazakhstan,KZ,Soltüstik Qazaqstan,admin,228238,200920
Oral,51.233333,51.366667,Kazakhstan,KZ,Batys Qazaqstan,admin,209788,200000
Atyraū,47.116667,51.883333,Kazakhstan,KZ,Atyraū,admin,182753,158413
Temirtaū,50.054938,72.964643,Kazakhstan,KZ,Qaraghandy,,170600,163787
Kökshetaū,53.283333,69.4,Kazakhstan,KZ,Aqmola,admin,128873,124444
Ekibastuz,51.723714,75.322869,Kazakhstan,KZ,Pavlodar,,127868,121470
Rudnyy,52.972903,63.116772,Kazakhstan,KZ,Qostanay,,124000,84471
Zhezqazghan,47.783333,67.766667,Kazakhstan,KZ,Qaraghandy,,104357,104357
Türkistan,43.299228,68.222892,Kazakhstan,KZ,Ongtüstik Qazaqstan,,97360,76127
Taldyqorghan,45.016666,78.383333,Kazakhstan,KZ,Almaty,admin,88380,88380
Balkhash,46.848056,74.995,Kazakhstan,KZ,Qaraghandy,,81364,79808
Sarqan,45.411259,79.915449,Kazakhstan,KZ,Almaty,,76919,45739
Kentaū,43.516721,68.504631,Kazakhstan,KZ,Ongtüstik Qazaqstan,,57408,54321
Ridder,50.344129,83.512868,Kazakhstan,KZ,Shyghys Qazaqstan,,56756,52664
Arqalyq,50.249146,66.920267,Kazakhstan,KZ,Qostanay,,55521,42000
Zyryanovsk,49.72654,84.273182,Kazakhstan,KZ,Shyghys Qazaqstan,,49658,44929
Zhitiqara,52.19019,61.198936,Kazakhstan,KZ,Qostanay,,46740,43104
Ayagöz,47.964473,80.434372,Kazakhstan,KZ,Shyghys Qazaqstan,,45861,33479
Arys,42.430155,68.808701,Kazakhstan,KZ,Ongtüstik Qazaqstan,,42648,36285
Shū,43.60334,73.759192,Kazakhstan,KZ,Zhambyl,,42439,39785
Qapshaghay,43.862107,77.065781,Kazakhstan,KZ,Almaty,,42167,38472
Qarataū,43.178687,70.467681,Kazakhstan,KZ,Zhambyl,,37881,33605
Qulsary,46.983333,54.016667,Kazakhstan,KZ,Atyraū,,37103,37103
Zharkent,44.1666,80.006549,Kazakhstan,KZ,Almaty,,36496,34422
Atbasar,51.806522,68.359963,Kazakhstan,KZ,Aqmola,,35819,34797
Esik,43.358857,77.440348,Kazakhstan,KZ,Almaty,,35319,26447
Aksay,51.168099,52.997815,Kazakhstan,KZ,Batys Qazaqstan,,34799,26010
Aral,46.8,61.666667,Kazakhstan,KZ,Qyzylorda,,33017,27353
Beyneu,45.183333,55.1,Kazakhstan,KZ,Mangghystaū,,32452,32452
Balyqshy,47.066667,51.866667,Kazakhstan,KZ,Atyraū,,31624,19260
Shīeli,44.168817,66.738872,Kazakhstan,KZ,Qyzylorda,,29832,21910
Alga,49.900418,57.330543,Kazakhstan,KZ,Aqtöbe,,28267,28267
Oktyabr’sk,49.469124,57.419142,Kazakhstan,KZ,Aqtöbe,,28196,26373
Shalqar,47.833333,59.6,Kazakhstan,KZ,Aqtöbe,,27256,27256
Shemonaīkha,50.628114,81.912128,Kazakhstan,KZ,Shyghys Qazaqstan,,27176,20087
Ereymentaū,51.623636,73.102651,Kazakhstan,KZ,Aqmola,,25141,14169
Khromtaū,50.251173,58.440034,Kazakhstan,KZ,Aqtöbe,,23715,19513
Lengir,42.181518,69.885821,Kazakhstan,KZ,Ongtüstik Qazaqstan,,23058,21238
Makīnsk,52.6329,70.419112,Kazakhstan,KZ,Aqmola,,23020,17711
Oytal,42.890255,73.228205,Kazakhstan,KZ,Zhambyl,,22673,9821
Qarazhal,48.04021,70.857056,Kazakhstan,KZ,Qaraghandy,,22170,13807
Boralday,43.360278,76.857778,Kazakhstan,KZ,Almaty,,20996,20996
Üshtöbe,45.252006,77.980067,Kazakhstan,KZ,Almaty,,20492,17741
Zhosaly,45.487778,64.078056,Kazakhstan,KZ,Qyzylorda,,20065,17982
Atasū,48.686593,71.644688,Kazakhstan,KZ,Qaraghandy,,19616,13184
Emba,48.829814,58.150422,Kazakhstan,KZ,Aqtöbe,,18760,1259
Zaysan,47.467831,84.881108,Kazakhstan,KZ,Shyghys Qazaqstan,,17600,10798
Derzhavīnsk,51.099223,66.31557,Kazakhstan,KZ,Aqmola,,15848,13856
Uryzhar,47.09302,81.629393,Kazakhstan,KZ,Shyghys Qazaqstan,,14826,12882
Maqat,47.65,53.316667,Kazakhstan,KZ,Atyraū,,14082,10256
Esil,51.954949,66.408409,Kazakhstan,KZ,Aqmola,,13504,627
Taiynsha,53.846646,69.759873,Kazakhstan,KZ,Soltüstik Qazaqstan,,13148,1109
Qulan,42.910104,72.720661,Kazakhstan,KZ,Zhambyl,,13128,7272
Otar,43.53813,75.216174,Kazakhstan,KZ,Zhambyl,,11238,11238
Būlaevo,54.905963,70.441549,Kazakhstan,KZ,Soltüstik Qazaqstan,,9886,880
Aqadyr,48.260598,72.858255,Kazakhstan,KZ,Qaraghandy,,9710,1009
Ertis,53.333649,75.45775,Kazakhstan,KZ,Pavlodar,,9216,3406
Shar,49.585591,81.048515,Kazakhstan,KZ,Shyghys Qazaqstan,,9087,1162
Makhambet,47.666667,51.583333,Kazakhstan,KZ,Atyraū,,8905,618
Zhangaözen,43.3,52.8,Kazakhstan,KZ,Mangghystaū,,8895,8895
Aqsū,52.444223,71.957606,Kazakhstan,KZ,Aqmola,,8543,8543
Zhänibek,49.422073,46.847052,Kazakhstan,KZ,Batys Qazaqstan,,8212,5436
Qarqaraly,49.412873,75.472858,Kazakhstan,KZ,Qaraghandy,,8195,1603
Qusmuryn,52.451073,64.619771,Kazakhstan,KZ,Qostanay,,8049,642
Bayghanīn,48.689755,55.875121,Kazakhstan,KZ,Aqtöbe,,7657,885
Osakarovka,50.562193,72.570891,Kazakhstan,KZ,Qaraghandy,,7305,1087
Bestöbe,52.497951,73.095919,Kazakhstan,KZ,Aqmola,,7189,7189
Tobyl,52.696575,62.581014,Kazakhstan,KZ,Qostanay,,7155,672
Zholymbet,51.742113,71.712454,Kazakhstan,KZ,Aqmola,,6876,1062
Kishkeneköl,53.635894,72.340793,Kazakhstan,KZ,Soltüstik Qazaqstan,,6779,6779
Qazaly,45.762778,62.1075,Kazakhstan,KZ,Qyzylorda,,6582,290
Chapaev,50.2,51.166667,Kazakhstan,KZ,Batys Qazaqstan,,6000,1031
Torghay,49.633889,63.498056,Kazakhstan,KZ,Qostanay,,5277,5277
Fort-Shevchenko,44.506544,50.26388,Kazakhstan,KZ,Mangghystaū,,5213,1259
Aqtaū,43.65,51.166666,Kazakhstan,KZ,Mangghystaū,admin,4479,4479
Saryshagan,46.119167,73.619167,Kazakhstan,KZ,Qaraghandy,,4365,297
Shongzhy,43.538134,79.465819,Kazakhstan,KZ,Almaty,,3902,3902
Serebryansk,49.684134,83.295612,Kazakhstan,KZ,Shyghys Qazaqstan,,701,701
Zhaltyr,51.628321,69.835519,Kazakhstan,KZ,Aqmola,,694,694
Sharbaqty,52.490866,78.155562,Kazakhstan,KZ,Pavlodar,,107,107
Būrylbaytal,44.93984,74.017766,Kazakhstan,KZ,Zhambyl,,100,85
